ref:FR:prix-carburants,brand,name,operator,branch
86170005,Total,Total,Total,
59570001,,Match,,
74520011,TotalEnergies,Carburant TotalEnergies,,
55290001,,Station communale de Bure,,
55160015,Carrefour,Carrefour,,
1400006,Intermarché,,,
21320007,Eni,Eni,,
39700012,Total Access,Relais du Poirier 2,Total,
31140006,Auchan,Auchan,Auchan,
69380009,Esso,Esso,Esso,
31500008,Total,Total,,
21360003,Esso,Station Esso de la Forêt,Esso,
35520002,TotalEnergies,Total,Total,
62870002,Carrefour,Carrefour,,
67000032,Eni,Eni,Agip,
28310010,Shell,Shell,SHELL,
65190002,Carrefour,Carburant Carrefour,,
59200006,Intermarché,Intermarché,,
29480001,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
80200007,Intermarché,Intermarché,,
2000009,Intermarché,Intermarché,Groupement des Mousquetaires,
59265001,Carrefour,Carrefour,,
12330004,Netto,Netto,,
69210007,,Otarie,,
54630001,Esso,Esso,,
29260005,Avia,Avia,Brétéché Ouest,
18390004,Intermarché,Intermarché,,
79800011,TotalEnergies,Relais Total du Poitou,Total,
37380003,Esso,Esso,BP,
6500004,Intermarché,Intermarché,,
6130008,Esso Express,Esso Express,,
80200011,E.Leclerc Carburant,,,
10500005,E.Leclerc,Station Service E. Leclerc,,
92400013,,Station Quai Joffre,8 à Huit,
49290001,Système U,Station U,,
93330006,Total Access,Total Access,,
75016001,Carrefour,Carrefour,,
4000003,Esso,Esso,,
93150007,Esso Express,Esso Express,Esso,
92210008,BP,,,
86220001,Carrefour,Carrefour Market,,
86220003,Total,Total Contact,,
49650003,Carrefour,Carrefour Contact,,
82110002,,Aire C,,
46140003,Carrefour,Carrefour Contact,,
57910002,Super U,Super U,Système U,
14200009,Total Access,Relais Total de la Valeuse,Total,
95370001,Carrefour,Carrefour,Carrefour,
78600004,Total Access,Total Access,,
44000009,TotalEnergies,TotalEnergies,,
85540003,Carrefour,Carrefour Contact,,
44116001,Intermarché,Intermarché,,
85540002,Intermarché,Intermarché,,
70160001,Carrefour,Carrefour,,
83400017,Intermarché,Intermarché,,
55000005,Intermarché,Intermarché,Intermarché,
70800002,Total,Total,,
11430001,Dyneff,Dyneff,Dyneff,
